#,Date Time,Temp C ,RH % ,CO2_1 ppm,CO2_2 ppm
101,04/17/10 02:20:00  PM,20.317,36.688,436.5,457.3
102,04/17/10 02:22:00  PM,20.317,36.688,440.8,456.7
103,04/17/10 02:24:00  PM,20.317,36.72,439.6,456.7
104,04/17/10 02:26:00  PM,20.317,36.688,438.9,456
105,04/17/10 02:28:00  PM,20.317,36.688,445.7,456
106,04/17/10 02:30:00  PM,20.317,36.72,444.4,456
107,04/17/10 02:32:00  PM,20.317,36.688,442.6,456
108,04/17/10 02:34:00  PM,20.317,36.72,446.9,456
109,04/17/10 02:36:00  PM,20.341,36.723,442,456
110,04/17/10 02:38:00  PM,20.341,36.723,443.8,455.4
111,04/17/10 02:40:00  PM,20.341,36.723,446.9,455.4
112,04/17/10 02:42:00  PM,20.341,36.69,445.7,455.4
113,04/17/10 02:44:00  PM,20.365,36.692,443.8,455.4
114,04/17/10 02:46:00  PM,20.365,36.692,442.6,455.4
115,04/17/10 02:48:00  PM,20.365,36.66,443.8,455.4
116,04/17/10 02:50:00  PM,20.365,36.66,442.6,454.8
117,04/17/10 02:52:00  PM,20.388,36.662,440.8,454.8
118,04/17/10 02:54:00  PM,20.388,36.662,448.7,454.8
119,04/17/10 02:56:00  PM,20.388,36.662,447.5,454.8
120,04/17/10 02:58:00  PM,20.388,36.662,442.6,454.2
121,04/17/10 03:00:00  PM,20.412,36.664,442,454.2
122,04/17/10 03:02:00  PM,20.412,36.664,443.8,454.2
123,04/17/10 03:04:00  PM,20.412,36.664,440.8,454.2
124,04/17/10 03:06:00  PM,20.412,36.664,445.1,453.6
125,04/17/10 03:08:00  PM,20.436,36.634,439.6,453.6
126,04/17/10 03:10:00  PM,20.436,36.634,440.8,453.6
127,04/17/10 03:12:00  PM,20.436,36.601,444.4,453
128,04/17/10 03:14:00  PM,20.436,36.667,443.8,453.6
129,04/17/10 03:16:00  PM,20.46,36.636,438.9,453
130,04/17/10 03:18:00  PM,20.46,36.636,440.8,453
131,04/17/10 03:20:00  PM,20.46,36.636,450.5,453
132,04/17/10 03:22:00  PM,20.46,36.604,443.8,453
133,04/17/10 03:24:00  PM,20.484,36.606,445.7,453
134,04/17/10 03:26:00  PM,20.484,36.54,442.6,453
135,04/17/10 03:28:00  PM,20.484,36.475,442,452.4
136,04/17/10 03:30:00  PM,20.484,36.475,443.8,452.4
137,04/17/10 03:32:00  PM,20.484,36.475,442,452.4
138,04/17/10 03:34:00  PM,20.484,36.475,442.6,452.4
139,04/17/10 03:36:00  PM,20.484,36.442,443.8,452.4
140,04/17/10 03:38:00  PM,20.507,36.412,439.6,451.8
141,04/17/10 03:40:00  PM,20.507,36.444,446.9,451.8
142,04/17/10 03:42:00  PM,20.507,36.477,440.8,451.8
143,04/17/10 03:44:00  PM,20.531,36.48,439.6,451.8
144,04/17/10 03:46:00  PM,20.531,36.414,443.8,451.2
145,04/17/10 03:48:00  PM,20.531,36.48,434.1,451.2
146,04/17/10 03:50:00  PM,20.531,36.48,438.9,450.5
147,04/17/10 03:52:00  PM,20.531,36.48,443.8,450.5
148,04/17/10 03:54:00  PM,20.531,36.48,442,450.5
149,04/17/10 03:56:00  PM,20.531,36.48,442.6,450.5
150,04/17/10 03:58:00  PM,20.555,36.482,440.8,449.9
151,04/17/10 04:00:00  PM,20.555,36.416,445.7,449.9
152,04/17/10 04:02:00  PM,20.555,36.482,442,449.9
153,04/17/10 04:04:00  PM,20.579,36.452,440.8,449.9
154,04/17/10 04:06:00  PM,20.579,36.452,444.4,449.9
155,04/17/10 04:08:00  PM,20.579,36.419,445.7,449.9
156,04/17/10 04:10:00  PM,20.579,36.419,442.6,449.3
157,04/17/10 04:12:00  PM,20.603,36.421,442,449.3
158,04/17/10 04:14:00  PM,20.603,36.421,439.6,449.3
159,04/17/10 04:16:00  PM,20.603,36.421,438.9,448.7
160,04/17/10 04:18:00  PM,20.627,36.423,442.6,448.7
161,04/17/10 04:20:00  PM,20.627,36.423,444.4,448.7
162,04/17/10 04:22:00  PM,20.627,36.423,442,448.7
163,04/17/10 04:24:00  PM,20.627,36.423,442,448.1
164,04/17/10 04:26:00  PM,20.65,36.426,440.8,448.1
165,04/17/10 04:28:00  PM,20.65,36.393,443.8,448.1
166,04/17/10 04:30:00  PM,20.65,36.393,446.3,448.1
167,04/17/10 04:32:00  PM,20.674,36.363,443.8,448.1
168,04/17/10 04:34:00  PM,20.674,36.363,440.8,447.5
169,04/17/10 04:36:00  PM,20.674,36.363,442,447.5
170,04/17/10 04:38:00  PM,20.674,36.363,442.6,447.5
171,04/17/10 04:40:00  PM,20.674,36.395,444.4,447.5
172,04/17/10 04:42:00  PM,20.698,36.431,443.8,447.5
173,04/17/10 04:44:00  PM,20.698,36.431,442.6,446.9
174,04/17/10 04:46:00  PM,20.698,36.431,448.7,446.9
175,04/17/10 04:48:00  PM,20.698,36.431,444.4,446.9
176,04/17/10 04:50:00  PM,20.698,36.431,444.4,446.9
177,04/17/10 04:52:00  PM,20.722,36.433,443.8,446.9
178,04/17/10 04:54:00  PM,20.722,36.433,440.8,446.9
179,04/17/10 04:56:00  PM,20.722,36.433,440.8,446.3
180,04/17/10 04:58:00  PM,20.722,36.433,442,446.3
181,04/17/10 05:00:00  PM,20.722,36.466,440.8,445.7
182,04/17/10 05:02:00  PM,20.746,36.468,448.1,445.7
183,04/17/10 05:04:00  PM,20.746,36.468,453,446.3
184,04/17/10 05:06:00  PM,20.746,36.435,450.5,446.3
185,04/17/10 05:08:00  PM,20.746,36.435,445.7,446.3
186,04/17/10 05:10:00  PM,20.746,36.468,440.8,446.3
187,04/17/10 05:12:00  PM,20.77,36.47,440.8,445.7
188,04/17/10 05:14:00  PM,20.77,36.47,440.8,445.7
189,04/17/10 05:16:00  PM,20.77,36.47,443.8,445.1
190,04/17/10 05:18:00  PM,20.77,36.438,440.2,445.1
191,04/17/10 05:20:00  PM,20.77,36.438,438.9,444.4
192,04/17/10 05:22:00  PM,20.77,36.438,439.6,444.4
193,04/17/10 05:24:00  PM,20.793,36.44,440.2,444.4
194,04/17/10 05:26:00  PM,20.793,36.473,432.8,443.8
195,04/17/10 05:28:00  PM,20.793,36.473,440.8,443.2
196,04/17/10 05:30:00  PM,20.793,36.473,440.8,443.2
197,04/17/10 05:32:00  PM,20.817,36.442,439.6,443.2
198,04/17/10 05:34:00  PM,20.817,36.442,442,443.2
199,04/17/10 05:36:00  PM,20.817,36.475,442.6,443.2
200,04/17/10 05:38:00  PM,20.817,36.475,442.6,443.2
201,04/17/10 05:40:00  PM,20.817,36.442,445.7,443.2
202,04/17/10 05:42:00  PM,20.841,36.478,448.7,443.2
203,04/17/10 05:44:00  PM,20.841,36.445,444.4,443.2
204,04/17/10 05:46:00  PM,20.841,36.478,447.5,443.2
205,04/17/10 05:48:00  PM,20.841,36.445,442.6,443.2
206,04/17/10 05:50:00  PM,20.841,36.445,447.5,443.8
207,04/17/10 05:52:00  PM,20.841,36.445,440.8,443.2
208,04/17/10 05:54:00  PM,20.841,36.445,440.8,443.2
209,04/17/10 05:56:00  PM,20.865,36.447,437.7,443.2
210,04/17/10 05:58:00  PM,20.865,36.447,438.9,442.6
211,04/17/10 06:00:00  PM,20.865,36.447,441.4,442.6
212,04/17/10 06:02:00  PM,20.865,36.447,438.9,442.6
213,04/17/10 06:04:00  PM,20.865,36.414,443.8,442.6
214,04/17/10 06:06:00  PM,20.865,36.381,434.7,442
215,04/17/10 06:08:00  PM,20.865,36.414,447.5,442
216,04/17/10 06:10:00  PM,20.889,36.417,438.3,442
217,04/17/10 06:12:00  PM,20.889,36.417,443.8,442
218,04/17/10 06:14:00  PM,20.889,36.417,444.4,442
219,04/17/10 06:16:00  PM,20.889,36.417,439.6,441.4
220,04/17/10 06:18:00  PM,20.889,36.417,440.8,441.4
221,04/17/10 06:20:00  PM,20.889,36.449,442,441.4
222,04/17/10 06:22:00  PM,20.889,36.384,445.7,441.4
223,04/17/10 06:24:00  PM,20.889,36.384,445.1,441.4
224,04/17/10 06:26:00  PM,20.889,36.384,443.8,441.4
225,04/17/10 06:28:00  PM,20.913,36.386,442,441.4
226,04/17/10 06:30:00  PM,20.913,36.386,443.8,441.4
227,04/17/10 06:32:00  PM,20.913,36.386,443.8,440.8
228,04/17/10 06:34:00  PM,20.913,36.386,440.8,440.8
229,04/17/10 06:36:00  PM,20.913,36.386,437.7,440.8
